lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol,n_si,order
1412.0,5.27191719282835e-31,-2.672022357486446e-31,8.339262198891448e-26,1.4625080548867794e-25,-1.1870990262952233e-36,-3.1324434397485024e-37,8.11220131612567e-34,3.133443790039505e-32,8.795647597069471e-24,2.585730184885234e-24,1.2580447397523046e-38,1.1463825575024035e-39,3.990018830265394e-33,-1.7483738409969417e-32,3.1478351985031207e-21,9.058833961402679e-22,-4.3480192070819186e-39,-9.522628668237856e-40,9.303234370694237e-14,3.1675481628510567e-11,2.1463503824379975e-11,1.3414131105301576e-12,5.457343090712764e-11,7.920112584159258e-12,7.664210236417873e-13,64.29157257080078,93.09980773925781,61.42601013183594,89.50785827636719,3.3,11
1413.0,3.4780449595734885e-31,1.6550783291877574e-31,1.8905375283769785e-26,1.466400364909256e-25,-1.0840537082043288e-36,-1.1799448943610715e-37,1.4551759457887913e-33,3.969365292329028e-32,9.738900062018163e-24,3.2182219668014114e-24,1.3693740460999877e-38,-4.767215379987739e-40,1.4931351881632509e-33,-1.6705583724820453e-32,2.8088777545940027e-21,3.6515474250179476e-22,-4.1639706574300505e-39,-3.1978780433459833e-40,3.974472344186643e-14,2.3618944325683315e-11,1.6006330780371466e-11,1.0300914508274475e-12,4.069511128032409e-11,6.22184509996047e-12,2.82125185108524e-13,47.44936752319336,68.6274185180664,45.338966369628906,66.00138854980469,3.3,11
1414.0,3.033495942592022e-31,5.070619754950387e-31,-4.545657291472452e-26,1.3214034102344554e-25,-9.73936279330292e-37,1.023813680237131e-39,2.6535006977690617e-33,4.3924892874952534e-32,1.0526832096034452e-23,3.45599392967027e-24,1.3582834810624202e-38,-1.6408572720785076e-39,-1.1689564104628053e-34,-1.5673077680882617e-32,2.4662833800363925e-21,4.47840769841169e-23,-3.9124438781509344e-39,9.265351271561216e-41,9.268721780538229e-14,1.7861574511509518e-11,1.2117766921355116e-11,8.011620605187033e-13,3.087319071118872e-11,4.9424062801018295e-12,8.005629487792174e-14,35.59165573120117,51.363250732421875,34.01167678833008,49.412689208984375,3.3,11
1415.0,3.2125980092329773e-31,7.675046051116285e-31,-9.529288528777196e-26,1.422923746206844e-25,-8.746870622882256e-37,7.304125678546558e-38,4.702588372094804e-33,4.7393569975784823e-32,1.1150625973645629e-23,3.5403279517749035e-24,1.3573976024268e-38,-2.6365564073771198e-39,-1.1895612213251115e-33,-1.4643995305276015e-32,2.166965993639559e-21,-1.4152852366867618e-22,-3.6576419757032634e-39,3.6681354836678545e-40,1.8277929689941296e-13,1.3804450581581018e-11,9.364489366104212e-12,6.350071907213673e-13,2.398672643530601e-11,3.9974283249166116e-12,2.058668009531898e-14,27.30803871154785,39.283790588378906,26.098047256469727,37.80289077758789,3.3,11
1416.0,3.623786076976639e-31,9.589974914260301e-31,-1.3294796394745104e-25,1.5020561634313693e-25,-7.935757525244955e-37,1.1606557876226177e-37,6.675789708211102e-33,4.974644074476182e-32,1.160511777605367e-23,3.518610302294958e-24,1.3392776259872994e-38,-3.453568912953931e-39,-1.8751683017040034e-33,-1.3773539411470483e-32,1.9262633536204843e-21,-2.4898874317574727e-22,-3.4417384209452525e-39,5.442064808362889e-40,2.764316202449699e-13,1.1012122410203728e-11,7.475574496434384e-12,5.18348133120666e-13,1.9282476660003748e-11,3.3235883238785097e-12,2.948551483185778e-14,21.67259979248047,31.05463218688965,20.713769912719727,29.89158058166504,3.3,11
1417.0,4.164930516464897e-31,1.1159405429859963e-30,-1.4405207291702764e-25,1.7609625600202423e-25,-7.2110910851848455e-37,1.4414701739250739e-37,8.1994058944649e-33,5.035247207178144e-32,1.1990835994924037e-23,3.454315075493882e-24,1.2878947867445546e-38,-3.9080469810971004e-39,-2.3633548463282443e-33,-1.30091275717363e-32,1.7137938116338326e-21,-3.161155040910478e-22,-3.247284215195318e-39,6.770174788102872e-40,3.71885185534472e-13,8.84035606282641e-12,6.010287498952219e-12,4.259158476874829e-13,1.5648444595000584e-11,2.7824911111362878e-12,7.260232981075697e-14,17.330171585083008,24.70151710510254,16.564598083496094,23.782384872436523,3.3,11
1418.0,4.694399513842548e-31,1.2331267253182827e-30,-1.4996233556863266e-25,1.929951802908022e-25,-6.6329753894780895e-37,1.6063148331272085e-37,9.441655379921706e-33,5.200212886174426e-32,1.2271585727114329e-23,3.365958334928108e-24,1.2728534967993368e-38,-4.28311834463669e-39,-2.6673834715860414e-33,-1.2381408782977203e-32,1.5470717030480447e-21,-3.522861708262055e-22,-3.090927899908464e-39,7.550023701320853e-40,4.549302425949426e-13,7.307658801046664e-12,4.970231694791426e-12,3.590757372983849e-13,1.3091896475731417e-11,2.386539867747119e-12,1.2781164084535849e-13,14.287283897399902,20.24471664428711,13.656908988952637,19.495811462402344,3.3,11
1442.0,2.4645331382183346e-30,2.243027292333737e-30,-2.0704030885340894e-25,5.386786056323079e-25,2.1509111046367156e-37,-3.0936445016601606e-37,3.5750905056853194e-32,5.098281740996125e-32,1.6146076371047197e-23,-3.827224204255706e-25,5.162007689565002e-39,-5.8543468550797135e-39,4.6106913870292145e-34,-1.9616232508526052e-33,-9.88352531247341e-22,1.2706811736060533e-21,-4.276834453553785e-40,2.4030557751914723e-41,2.7097791391342735e-12,7.034101411353645e-12,4.6958759729700395e-12,1.7336327902111426e-13,1.4613119802479073e-11,6.577702136689843e-13,3.5073588596461658e-12,16.21286964416504,24.077762603759766,15.436964988708496,22.980077743530273,3.45,11
1443.0,2.608411022388371e-30,2.1915752875604137e-30,-1.936368129412195e-25,5.620872551048935e-25,2.3832270579239e-37,-3.74930773925421e-37,3.6143597263514215e-32,4.918820427286079e-32,1.6070419633954175e-23,-7.078103421063128e-25,4.5986722645795856e-39,-5.2513903772682546e-39,1.0208914322462692e-33,-1.6025856701608308e-33,-1.0384696802675988e-21,1.4697410856801702e-21,-3.3472832444243653e-40,-1.1686096428303167e-40,2.8242814628226737e-12,8.76598258295618e-12,5.8582188685274e-12,2.2811231892391447e-13,1.7676595233230165e-11,9.104854571786355e-13,3.759007371721391e-12,19.763978958129883,29.588871002197266,18.81987953186035,28.252716064453125,3.45,11
1444.0,2.7770977262645305e-30,2.1104833308790517e-30,-1.7623382846058524e-25,5.830954307375584e-25,2.583820191137714e-37,-4.580137984899569e-37,3.714197040452429e-32,4.6139211259866493e-32,1.592082495192133e-23,-1.0942368317027772e-24,3.6822860282621374e-39,-4.7192344418515694e-39,1.7331174028235864e-33,-1.2359473596764363e-33,-1.0757103451725051e-21,1.7201026333560994e-21,-2.3427357121371435e-40,-2.9258623137495218e-40,2.9521607589605586e-12,1.1109718369989861e-11,7.427054570944528e-12,3.0398795091842936e-13,2.179292165081338e-11,1.270248314138798e-12,4.057925722284546e-12,24.520652770996094,36.98150634765625,23.351640701293945,35.327213287353516,3.45,11
1445.0,2.982189146996964e-30,1.9780964793785767e-30,-1.5336311253861083e-25,6.073972810045974e-25,2.7088678954700525e-37,-5.690667526475924e-37,3.7738340812606546e-32,4.2637877449527566e-32,1.5644521574239102e-23,-1.5654138059471142e-24,2.8039307723756893e-39,-3.7603343933331306e-39,2.7310353689467916e-33,-9.13433304116222e-34,-1.083346762818084e-21,2.0519508413576068e-21,-1.4468631476823318e-40,-5.41418141804935e-40,3.0987318350003704e-12,1.449254340043543e-11,9.695135852691044e-12,4.1644820919085334e-13,2.77028592973177e-11,1.8168762855736722e-12,4.430426541619198e-12,31.324462890625,47.56785583496094,29.83419418334961,45.46031188964844,3.45,11
1446.0,3.215075585733452e-30,1.765460800025371e-30,-8.803820304726745e-26,6.315812731895265e-25,2.6307300454495566e-37,-7.134789062515664e-37,4.098859444037203e-32,3.7381179845157986e-32,1.5246694193217382e-23,-2.1383271955891904e-24,1.629538805549536e-39,-3.2550305490985894e-39,4.051861307844128e-33,-7.269907471840179e-34,-1.0239808142082848e-21,2.4769532471298455e-21,-8.946063905163609e-41,-8.719088283114417e-40,3.2462720175761833e-12,1.9283104763904684e-11,1.2920076305555503e-11,5.805927509309675e-13,3.6030045837967336e-11,2.6339299198394676e-12,4.8662897244482694e-12,40.8792839050293,62.45637512207031,38.93855667114258,59.714874267578125,3.45,11
1447.0,3.445863188147741e-30,1.4404918915855129e-30,-3.760252952112176e-26,6.624574147432787e-25,2.149840846988567e-37,-8.903103038355994e-37,3.8188007427657446e-32,3.198485921369677e-32,1.462359611060944e-23,-2.7589073571118826e-24,9.875805862610626e-40,-9.027116443807124e-40,5.77718223354249e-33,-8.0616832751636e-34,-8.358236069636478e-22,2.991106956361659e-21,-1.0184263531706622e-40,-1.3091033249980579e-39,3.3563545901273847e-12,2.581856369974467e-11,1.729155161591462e-11,8.10015568315251e-13,4.7276485474101926e-11,3.805101362595036e-12,5.320311647667874e-12,53.74213790893555,82.53561401367188,51.196346282958984,78.94541931152344,3.45,11
1448.0,3.6199622908515804e-30,9.331742110278192e-31,4.7436237979145234e-26,6.682204444100191e-25,8.535213996329497e-38,-1.1006388270414347e-36,3.5738157508446967e-32,2.509126725807632e-32,1.3553126206206685e-23,-3.2513253022732732e-24,7.104439472658338e-40,1.56945112620305e-39,7.95046249809185e-33,-1.5411102477567763e-33,-3.990913776580567e-22,3.584218349898452e-21,-2.623613887789124e-40,-1.861963734651813e-39,3.3531881224833526e-12,3.4717783103364286e-11,2.3264060241576983e-11,1.1337393106380982e-12,6.246877077806271e-11,5.505098721493303e-12,5.707275372220985e-12,71.03921508789062,109.58966827392578,67.6815414428711,104.86490631103516,3.45,11
