tag,method,P,H,seed,iters,n_grid,order_opt,order_final,stage,padding_nm,design_radius_nm,runtime_s,sha256_rho,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im,f_ED_x,f_MD_x,f_EQ_x,f_MQ_x,px_in_ED_x,py_in_ED_x,mx_in_MD_x,my_in_MD_x,f_ED_y,f_MD_y,f_EQ_y,f_MQ_y,px_in_ED_y,py_in_ED_y,mx_in_MD_y,my_in_MD_y,n_components,n_air_components,min_si_linewidth_nm,min_air_gap_nm,radial_extent_nm,edge_clearance_nm,fill,min_air_gap_internal_nm,n_internal_air_holes,fab_ok2
A_P208_H230_s11_g80_o7,A,208.0,230.0,11,120,80,7,9,coarse,20.8,83.2,851.5917866230011,8206dfe18c2b84c23ef928b686dba1459e26d5c25f932f9dd98ed3e6c9019a5a,0.07865413278341293,0.1293361335992813,0.07849514484405518,0.1297404170036316,0.4848117232322693,0.16919581592082977,0.19722141325473785,0.6142711639404297,1.3604233572550584e-05,0.0006924510234966874,294.877197265625,114.87718200683594,0.03889676555991173,0.3773290514945984,0.9393706917762756,0.37008506059646606,0.021732568740844727,0.25258588790893555,-0.1316714882850647,0.1468295156955719,-6.759997631888837e-06,1.1805829672084656e-05,0.00036102792364545166,0.0005908868624828756,-0.587407112121582,-0.17967180907726288,-0.9375838041305542,0.24557368457317352,0.18544161319732666,-0.579393208026886,0.5878023287851691,0.3287855700758399,0.08057057220965881,0.002841528929332024,0.994979268876418,4.1141894417803436e-05,2.374591287138656e-05,0.9999680926541581,0.3550836715934696,0.6332279057821409,0.0018031913786201049,0.009885231245769332,1.6115492377917464e-05,0.9981091338315973,0.9999366923797718,7.075242943128575e-07,1,1,59.800000000000004,2.6,82.1575316084898,1.042468391510198,0.19625,inf,0,True
A_P208_H260_s11_g80_o7,A,208.0,260.0,11,120,80,7,9,coarse,20.8,83.2,973.2552988529205,5c07ccc4a11d57388b1e3d480a9f2e6ab98dc0e196cb0f96ce32e1bff4f8489d,0.00029105314752086997,0.10817413777112961,0.0002921732375398278,0.10818382352590561,0.007808643858879805,0.6547290086746216,0.32020312547683716,0.3382471799850464,3.707996438606642e-05,9.110707651416305e-06,5.050050735473633,174.949951171875,0.10253003984689713,0.11441115289926529,0.6677097678184509,0.6571139097213745,0.22976016998291016,0.2284749150276184,-0.2956215441226959,-0.12303636968135834,-3.2199357519857585e-05,-1.838817843236029e-05,-6.115671567386016e-06,6.753039997420274e-06,-0.32250887155532837,-0.10197638720273972,-0.6075567007064819,0.5464289784431458,-0.4716663956642151,0.6592758893966675,0.09658148470451998,0.5161213157455532,0.3393980897091505,0.047899109840776256,0.9528895673118933,0.00010748931192879666,4.1049804409043464e-06,0.9999599461572741,0.03746339916789254,0.6723116613469119,0.22224101894582762,0.06798392053936811,0.00031464351311087115,0.7767384599793253,0.9999883101729866,3.029785712355122e-06,1,1,137.8,2.6,82.32192903473535,0.878070965264655,0.45625,inf,0,True
A_P226_H110_s11_g80_o7,A,226.0,110.0,11,120,80,7,9,coarse,22.6,90.4,726.9504308700562,cdeac43ed3de132c6e17cf60aa1af7eca9d7006419a71b8da1c366b6c0be5abd,0.0033064703457057476,0.486598938703537,0.0032957266084849834,0.4865764081478119,0.0036593687254935503,0.2843702733516693,0.7306069135665894,0.6678256392478943,0.00015595673175994307,0.00011544342851266265,7.900684833526611,172.0993194580078,0.5337864756584167,0.4459911286830902,0.23897425830364227,0.33696845173835754,0.22723926603794098,0.21704038977622986,-0.5285972952842712,0.5043524503707886,0.0001521703670732677,-3.415670289541595e-05,0.00011422905663494021,-1.6700545529602095e-05,-0.4152190685272217,0.5230527520179749,-0.4775727689266205,-0.10439590364694595,-0.5791962742805481,-0.03873012587428093,0.5209645499087076,0.477053622330662,0.0019559445354152844,2.588322521520529e-05,0.9979819168988737,1.1369609753691736e-05,9.846347507259632e-08,0.9998842135463568,0.4759325833093731,0.523171996313294,0.0006733119078046092,0.00022210846952821283,2.413658559557624e-05,0.9957688156083944,0.9999390683347272,1.270233702749706e-07,1,3,87.575,2.825,90.24537557404258,0.15462442595742232,0.449375,19.775000000000002,2,False
A_P226_H140_s11_g80_o7,A,226.0,140.0,11,120,80,7,9,coarse,22.6,90.4,731.2970683574677,25a495f739a1b61874181618078e251a19705ccfd44018879e4dd6a6cc141654,0.22978374361991882,0.18300697207450867,0.22976736724376678,0.18305879831314087,0.22370947897434235,0.21118290722370148,0.29029756784439087,0.8610134720802307,5.061026968178339e-05,3.907421705662273e-05,-100.7782211303711,79.22177124023438,0.08427267521619797,0.7413442134857178,0.8199546337127686,0.04984722286462784,0.09577268362045288,0.20880857110023499,0.11873343586921692,0.26490575075149536,-4.5940018026158214e-05,-2.1234736777842045e-05,-1.9567160052247345e-05,3.382189606782049e-05,-0.8376976847648621,0.19901444017887115,-0.5741251111030579,0.7002392411231995,-0.16357582807540894,-0.1519545018672943,0.4988832599626549,0.4884290094938264,0.01240097579180707,0.00028675475171144,0.9756306921511361,1.1566619962190494e-05,7.025882044302002e-08,0.9999985356765866,0.4861221886587368,0.5126531994998393,0.0010303583539344246,0.00019425348748955133,9.99608763314303e-06,0.998088352943629,0.9999098675210399,1.4780329797325305e-08,1,1,81.92500000000001,2.825,90.33376479755508,0.06623520244492909,0.273125,inf,0,True
A_P226_H170_s11_g80_o7,A,226.0,170.0,11,120,80,7,9,coarse,22.6,90.4,764.896591424942,42946355de334e9b10a93de5bbffe21af1eee4fb1a151c3b4647b3fc0051c196,0.30965936183929443,0.2568667232990265,0.30980560183525085,0.25710329413414,0.1298992782831192,0.10775844752788544,0.8885838389396667,0.586390495300293,4.9072936235461384e-05,0.00021193617430981249,-264.1899108886719,84.18993377685547,0.789581298828125,0.34385380148887634,0.008021260611712933,0.4674281179904938,0.2023974359035492,0.1887180507183075,-0.7707378268241882,-0.4422040581703186,1.2594557119882666e-05,-4.7429213736904785e-05,-8.157467527780682e-05,0.0001956080668605864,-0.23882971704006195,0.5355503559112549,0.030060511082410812,-0.08436565101146698,-0.6834766864776611,0.01696363463997841,0.5422546430112578,0.4379558733602183,0.01613206880287505,0.00365741482564879,0.9987467875659788,3.794745932654128e-06,8.82430786935207e-08,0.9998518638292588,0.3194074105617878,0.6693293660763994,0.00991740452698936,0.0013458188348234154,1.0810790473945943e-05,0.9528776245222247,0.9999960523018595,3.1837946111181584e-08,1,1,87.575,48.025000000000006,90.33376479755508,0.06623520244492909,0.295625,inf,0,True
A_P226_H200_s11_g80_o7,A,226.0,200.0,11,120,80,7,9,coarse,22.6,90.4,779.1022472381592,4a4e13046284fb82050e29a0f7efe3ba56c773e086759e7a2601225f6eed542c,0.262555867433548,0.15265320241451263,0.2625746726989746,0.1527131050825119,0.2602592408657074,0.08959343284368515,0.7859860062599182,0.461218923330307,6.562573253177106e-05,5.75231242692098e-05,-252.3553009033203,72.35529327392578,0.6177740097045898,0.21272289752960205,0.06311558932065964,0.6366606950759888,0.3191103935241699,0.15061640739440918,-0.46732598543167114,-0.6319655179977417,2.476082408975344e-05,-6.077530997572467e-05,-5.694344872608781e-05,-8.145758329192176e-06,-0.2702706456184387,0.37373343110084534,0.23509860038757324,-0.08856768906116486,-0.7831605672836304,-0.15270963311195374,0.4708832474465031,0.484226814090327,0.02855331660538621,0.016336621857783735,0.9977336851883168,7.870989839970777e-06,9.934847050043225e-08,0.9998880989982923,0.3436318814002132,0.630420767090419,0.021347398046652713,0.004599953462714967,5.245985461901354e-05,0.9577479986763481,0.9999921812665212,4.149416325311352e-07,1,1,87.575,59.325,84.77353839789868,5.62646160210133,0.26,inf,0,True
A_P226_H230_s11_g80_o7,A,226.0,230.0,11,120,80,7,9,coarse,22.6,90.4,789.7247166633606,da5885ef85a80cdcf1040f33aeb090921f98f7219f769cdbefb1837afcf755e4,0.00021318282233551145,0.03876923769712448,0.00021391209156718105,0.038764581084251404,0.006176639813929796,0.739807665348053,0.1830621361732483,0.2108297049999237,1.867630817287136e-05,2.201953248004429e-05,-2.6596755981445312,177.34031677246094,0.03351174667477608,0.04444916546344757,0.7453101873397827,0.7466776371002197,0.2211780548095703,0.2088732123374939,-0.178812637925148,-0.0392146110534668,-1.407047784596216e-05,-1.2281128874747083e-05,1.2886355762020685e-05,-1.7855018086265773e-05,-0.20361807942390442,-0.0546703115105629,-0.5495230555534363,0.6658337712287903,-0.420085072517395,0.7551199793815613,0.11781983197494049,0.44779494687061533,0.3911107445959345,0.043274476558509696,0.9682751050068356,7.172465277137822e-05,4.518329533172341e-06,0.9999527826441357,0.04577071762062765,0.6538966088118615,0.24341033629521291,0.05692233727229787,0.00021016807497610017,0.8760280080086812,0.9999804619921279,2.822267048153068e-06,1,1,149.72500000000002,2.825,89.97968694377639,0.4203130562236197,0.45375,inf,0,True
A_P226_H260_s11_g80_o7,A,226.0,260.0,11,120,80,7,9,coarse,22.6,90.4,855.699431180954,d952d4c77185b1f2276859a4aa69aeeaece3bc660d79ceec44cb0618e3377a38,0.0035729885566979647,0.059532131999731064,0.0035641088616102934,0.05952288210391998,0.03231637179851532,0.6610527634620667,0.18481490015983582,0.30337363481521606,5.1546092436183244e-05,8.430365414824337e-05,-3.5733227729797363,176.42666625976562,0.03415655344724655,0.09203556180000305,0.738171398639679,0.648409903049469,0.2276720404624939,0.25955456495285034,-0.18126192688941956,-0.036064714193344116,-1.2817290553357452e-05,4.992711546947248e-05,6.801025301683694e-05,4.98167792102322e-05,-0.29327327013015747,-0.07762963324785233,-0.7260699272155762,0.4593406915664673,-0.438632994890213,0.675285816192627,0.09690937995500878,0.42014293431809885,0.4441793855147974,0.038768300212095,0.9513691239508194,0.00015118099092590933,1.3096065770388155e-05,0.9999260855801452,0.03451532133088794,0.6819158213049396,0.22336003629148105,0.06020882107269131,0.0005567633915432947,0.6836017877633797,0.999980025262022,6.599703660338058e-06,1,3,104.525,2.825,89.53512055333371,0.8648794466662935,0.408125,14.125,2,False
A_P244_H110_s11_g80_o7,A,244.0,110.0,11,120,80,7,9,coarse,24.400000000000002,97.6,730.8801658153534,6def1e79a2164b7c087f50d142dbd78c471724a8bf659489c1780e309e6416c7,0.13428650796413422,0.27572524547576904,0.1343216747045517,0.2757693827152252,0.11004815995693207,0.23454153537750244,0.7605036497116089,0.4916676878929138,6.620456406380981e-05,8.533735672244802e-05,67.77304077148438,112.22696685791016,0.5783658027648926,0.24173711240291595,0.1686256229877472,0.5204169750213623,0.25300857424736023,0.23784589767456055,-0.6523870229721069,0.39084136486053467,-1.2758164302795194e-05,6.49636349407956e-05,8.504225843353197e-05,-7.0907535700825974e-06,0.07435837388038635,0.4860122799873352,-0.3858252465724945,-0.14058630168437958,-0.5089991092681885,0.5112111568450928,0.5348221433275974,0.46331430421958847,0.0018290640121513154,3.448844066284339e-05,0.9987662014482797,5.411015674526488e-06,7.813735206802359e-09,0.999833524002959,0.42156404538890174,0.5771266185616843,0.0012221427873891277,8.719326202479989e-05,6.486942113212968e-06,0.9794731856014847,0.9999785115923714,8.078412329541572e-08,1,1,106.75,3.05,97.52848942744886,0.07151057255113358,0.330625,inf,0,True
A_P244_H140_s11_g80_o7,A,244.0,140.0,11,120,80,7,9,coarse,24.400000000000002,97.6,734.322103023529,1b9a0102f8e2f0d746b813870e44d90eb5f410b7270e0553486a3e6526385eec,0.2475469708442688,0.15358500182628632,0.24756589531898499,0.15357014536857605,0.24146652221679688,0.21993759274482727,0.20551633834838867,0.8717976808547974,2.9357719540712424e-05,2.703169229789637e-05,-121.63643646240234,58.36355209350586,0.04223696514964104,0.7600312232971191,0.8977528214454651,0.024941975250840187,0.06001019477844238,0.21502679586410522,0.12875229120254517,0.1601867973804474,-2.9255346817080863e-05,2.449561179673765e-06,-1.3057790965831373e-05,-2.3668681023991667e-05,-0.8650095462799072,0.10858017206192017,-0.43729713559150696,0.8405498266220093,-0.12817610800266266,-0.09226517379283905,0.5801218812232035,0.40422700619533897,0.01517144669360167,0.00047966588785596035,0.9773888782548563,1.3642226099024268e-05,9.053649299826002e-08,0.9999996798668704,0.4999950492223777,0.49627460636237464,0.003576921741471492,0.000153422673776208,9.612088586197709e-06,0.9986089673351554,0.9998398321573247,2.983216991575605e-08,1,1,76.25,57.949999999999996,97.52848942744886,0.07151057255113358,0.236875,inf,0,True
A_P244_H170_s11_g80_o7,A,244.0,170.0,11,120,80,7,9,coarse,24.400000000000002,97.6,750.3990771770477,8b28a1e78fb54c15acc60a4f5a9e29b726750cccc9498932eae79c55fa751170,0.3855910897254944,0.20165061950683594,0.3857710063457489,0.20171108841896057,0.09432168304920197,0.1059107631444931,0.8884957432746887,0.6207247376441956,1.4230713532015216e-05,0.0001345625496469438,-250.5108184814453,70.51081848144531,0.7894246578216553,0.3852992057800293,0.00048678263556212187,0.39999139308929443,0.2100885659456253,0.21470940113067627,-0.6373103857040405,-0.6190800666809082,-1.1989006452495232e-05,7.666611054446548e-06,-0.00011568845366127789,6.872599624330178e-05,-0.25917863845825195,0.5640262961387634,-0.01795186474919319,0.012824823148548603,-0.6318353414535522,0.027848217636346817,0.609830888867201,0.3512207973829565,0.03480516393130299,0.0041431498185393765,0.999218786816713,2.0882109804081003e-06,2.1059824056376707e-07,0.9997758470271616,0.29079801998197946,0.696686782648473,0.011220220131410859,0.0012949772381368287,1.3253549296763136e-05,0.9263062341670609,0.9999917337382574,4.5006283394380685e-08,1,1,88.44999999999999,9.149999999999999,97.52848942744886,0.07151057255113358,0.275,inf,0,True
A_P244_H200_s11_g80_o7,A,244.0,200.0,11,120,80,7,9,coarse,24.400000000000002,97.6,776.9961733818054,fd94de871d87bf124e4325f9aecc9c797dfb2d7859b10dcd0eef40125b326dcc,0.3417074382305145,0.1575750857591629,0.34171009063720703,0.1575544774532318,0.15580977499485016,0.0691077709197998,0.804997444152832,0.5920527577400208,3.492655741865747e-05,8.213391083700117e-06,-247.27120971679688,67.27122497558594,0.64802086353302,0.35052648186683655,0.01775086298584938,0.4320428967475891,0.3342282772064209,0.21743065118789673,-0.29379451274871826,-0.7494702339172363,-6.24471113042091e-06,3.436375845922157e-05,-8.278620953205973e-07,8.171562512870878e-06,-0.424923300743103,0.41227012872695923,0.1292390525341034,0.03237459808588028,-0.6071966290473938,-0.25170445442199707,0.5408635213780913,0.3942964219402841,0.0449268705917884,0.019913186089836225,0.9979196589281508,5.1853681312736866e-06,4.875580224433823e-07,0.999802003722025,0.297066964837172,0.6873739666282297,0.011411583927170904,0.00414748460742746,4.2639084086229444e-05,0.943020360450485,0.9999819560572318,1.1065205241720771e-07,1,2,82.35,64.05,86.93837616380927,10.661623836190728,0.240625,9.149999999999999,1,False
